,Full name,Old.Life form,Pubescence,Latex,Genus,dsName,Life form,checked.lf
307,Riedelia microbotrya Valeton,herb,NA,NA,0,riedelia_microbotrya,non-woody,
308,Rubus L.,NA,NA,0,1,rubus_sp1,non-woody,
309,Rubus moluccanus L.[,climber,NA,0,0,rubus_moluccanus,non-woody,Climber
310,Ryparosa javanica (Blume) Kurz ex Koord. & Valeton,woody,NA,NA,0,ryparosa_javanica,woody,Tree
311,Sabiaceae Blume,NA,NA,NA,1,sabiaceae_sp1,woody,
312,Salacia chinensis L.,woody,NA,NA,0,salacia_chinensis,non-woody,Climber
313,Saurauia conferta Warb.,woody,NA,0,0,saurauia_conferta,woody,Tree
314,Saurauia fimbriata A.C.Sm.,woody,NA,NA,0,saurauia_fimbriata,woody,Tree
315,Saurauia poolei C.T.White & W.D.Francis,woody,NA,0,0,saurauia_poolei,woody,Tree
316,Saurauia Willd.,NA,NA,0,1,saurauia_sp1,woody,
317,Schefflera J.R. Forst. & G. Forst.,NA,NA,NA,1,scheflfera_sp1,non-woody,
318,Selaginella P. Beauv.,NA,NA,0,1,selaginella_sp1,non-woody,
319,Selaginella velutina Cesati,fern,NA,NA,0,selaginella_velutina,non-woody,
320,Setaria parviflora (Poir.) Kerguélen,grass,NA,0,0,setaria_parviflora,non-woody,
321,Sida rhombifolia L.,herb,NA,NA,0,sida_rhombifolia,non-woody,
322,Smilax australis R.Br.,climber,NA,0,0,smilax_australis,non-woody,
323,Solanaceae Juss.,NA,NA,NA,1,solanaceae_sp1,non-woody,
324,Solanum L.,NA,NA,0,1,solanum_sp1,non-woody,
325,Solanum torvum Sw.,woody,1,0,0,solanum_torvum,woody,Shrub
326,Sorghum Moench,NA,NA,0,1,sorghum_sp1,non-woody,
327,Sorghum propinquum (Kunth) Hitchc.,grass,NA,NA,0,sorghum_propinquum,non-woody,
328,"Sphaerostephanos J.Sm., Gen. Fil. (Hooker)",NA,0,0,1,sphaerostephanos_sp1,non-woody,
329,Sphaerostephanos unitus (L.) Holttum,fern,NA,0,0,sphaerostephanos_unitus,non-woody,
330,Stachytarpheta urticifolia Sims,herb,NA,NA,0,stachytarpheta_urticifolia,non-woody,
331,Steganthera Perkins,NA,NA,NA,1,steganthera_sp1,woody,
332,Stemona papuana Schltr.,climber,NA,NA,0,stemona_papuana,non-woody,
333,Stylosanthes humilis Kunth,herb,NA,NA,0,stylosanthes_humilis,non-woody,
334,Synedrella nodiflora (L.) Gaertn.,herb,NA,NA,0,synedrella_nodiflora,non-woody,
335,Syzygium branderhorstii Lauterb.,woody,NA,0,0,syzygium_branderhorstii,woody,Tree
336,Syzygium gonatanthum (Diels) Merr. & L.M.Perry,woody,NA,NA,0,syzygium_gonatanthum,woody,Tree
337,Tabernaemontana pandacaqui Lam.,herb,0,1,0,tabernaemontana_pandacaqui,non-woody,
338,Tetrastigma voinierianum (Baltet) Gagnep.,climber,0,0,0,tetrastigma_voinierianum,non-woody,
339,Timonius densiflorus Valeton,woody,NA,0,0,timonius_densiflorus,woody,Tree
340,Tinospora cordifolia (Willd.) Hook. f. & Thomson,climber,NA,0,0,tinospora_cordifolia,non-woody,
341,Tournefortia L.,NA,NA,0,1,tournefortia_sp1,woody,
342,Tournefortia sarmentosa Lam.,woody,NA,NA,0,tournefortia_sarmentosa,non-woody,Climber
343,Trema orientale (L.) Blume,woody,NA,0,0,trema_orientale,woody,Tree
344,Trichospermum pleiostigma (F.Muell.) Kosterm.,woody,1,1,0,trichospermum_pleiostigma,woody,Tree
345,Turpinia pentandra (Schltr.) B.L.Linden,woody,NA,0,0,turpinia_pentandra,woody,Tree
346,Uncaria lanosa Wall.,climber,0,0,0,uncaria_lanosa,non-woody,
347,Uncaria Schreber,NA,NA,NA,1,uncaria_sp1,non-woody,
348,Urena lobata L.,herb,NA,NA,0,urena_lobata,non-woody,
349,Urticaceae Juss.,NA,NA,NA,1,urticaceae_sp1,non-woody,
350,Vitex cofassus Reinw. ex Blume,woody,NA,NA,0,vitex_cofassus,woody,Tree
351,Zanthoxylum pluviatile T.G.Hartley,woody,NA,0,0,zanthoxylum_pluviatile,woody,Tree
